ClaimId,Area,AssetType,Entity,Claim,ClaimType,SourceUrl,SourceTitle,RetrievedDate,Confidence,Verified,ContradictingClaimId,Limitations,ReviewBy,Notes
CLM-016,LicensingTrademarks,Canvas,PowerLibs,"License prohibits distributing PowerLibs components (or anything based on them) as standalone items separate from a larger End Product, and prohibits building a competing component library/tool offering similar functionality",VendorClaim,https://www.powerlibs.com/license,PowerLibs license page,2026-09-24,High,Yes,,"Exact legal enforceability/scope of ""similar functionality"" not independently assessed; this is the license's own wording, not a legal opinion",2026-12-24,Directly quoted from the license page
CLM-017,LicensingTrademarks,Canvas,PowerLibs,"The pricing page's marketing language (""everything you unlock stays usable even after you cancel"") is broader than the license page's own text, which specifies that only Base/Components-tier access survives cancellation - Ultra-tier components and features do not: ""You retain perpetual access to your Base Components (Components Pack). You only lose access to Ultra Components and Ultra features.""",ResearchInference,https://www.powerlibs.com/pricing; https://www.powerlibs.com/license,PowerLibs pricing page and license page (compared directly),2026-09-24,Medium,Partial,,"This is this research's own comparison of two of the vendor's pages, not a claim the vendor makes about itself; a reasonable reading, not a certainty, since ""Base Components"" vs. the full ""180+/182"" figure is not perfectly cross-referenced on either page",2026-12-24,This is the discrepancy the product-owner instruction explicitly asked to be recorded
CLM-018,PricingAdoption,General,PowerLibs,"Homepage displays employer/company logos under a ""trusted by""-style section: Microsoft, Porsche Consulting, Stellantis, McLaren Group, Deutsche Bahn, Safran, Röchling, McCormick, Stadler Rail, National Grid, CarMax, EDEKA",VendorClaim,https://www.powerlibs.com,PowerLibs homepage,2026-09-24,Medium,Yes,,"A logo shown on a vendor's own marketing page is not evidence of organisational procurement, an enterprise contract, or an endorsement by that organisation - it most plausibly indicates that one or more individual employees are personal subscribers. Do not convert this into an adoption or credibility figure.",2026-12-24,Recorded per the explicit instruction not to convert employer logos into procurement evidence
CLM-019,PricingAdoption,General,PowerLibs,Site is run by an individual referred to as "Dennis" (external source: a Buttondown newsletter titled "Introducing PowerLibs: my biggest project yet"); full legal name and business structure not confirmed on the vendor's own site,IndependentEvidence,https://buttondown.com/dennisdoer/archive/introducing-powerlibs-my-biggest-project-yet/,Dennis Doer's Buttondown newsletter archive,2026-09-24,Medium,Partial,,Full name inferred from the newsletter's own domain/author handle (dennisdoer); not independently cross-confirmed via a second source,2026-12-24,
CLM-020,LicensingTrademarks,General,MicrosoftPacCli,"The pac CLI (all three install paths: MSI, .NET tool via NuGet, VS Code extension's bundled binary) is governed by Microsoft's own Software License Terms for the Power Apps CLI, linked from the NuGet package's own License field",OfficialDocumentation,https://www.microsoft.com/business-applications/legal/slt-powerapps-cli/,"Microsoft Software License Terms - Power Apps CLI (redirect target of go.microsoft.com/fwlink/?linkid=2160606)",2026-09-24,High,Yes,,"VS Code extension's own wrapper code is separately MIT-licensed (see CLM-020b); this claim is about the pac binary itself, not the extension wrapper",2026-12-24,Verified by following the NuGet package's own license link and reading the redirected terms page directly
CLM-020b,LicensingTrademarks,General,MicrosoftPacCli,"The VS Code extension microsoft-IsvExpTools.powerplatform-vscode's own source code (github.com/microsoft/powerplatform-vscode) is MIT licensed - a different license than the pac CLI binary it installs/wraps",RepositoryEvidence,https://github.com/microsoft/powerplatform-vscode,microsoft/powerplatform-vscode LICENSE file,2026-09-24,High,Yes,,Do not conflate this with the CLI binary's own license (CLM-020),2026-12-24,Fetched LICENSE file directly
CLM-021,LicensingTrademarks,General,MicrosoftPacCli,"Section 2 ""DISTRIBUTABLE CODE"" of the pac CLI's license permits copying modifying and distributing the source/object code of anything marked ""sample"" and ""template"" within the software, subject to distribution requirements (add significant primary functionality; flow down equivalent terms; indemnify Microsoft) and restrictions (no Microsoft trademark/trade-dress implying endorsement; no re-licensing under copyleft terms)",OfficialDocumentation,https://www.microsoft.com/business-applications/legal/slt-powerapps-cli/,Microsoft Software License Terms - Power Apps CLI,2026-09-24,High,Yes,,"The license does not explicitly name ""pac pcf init scaffold output"" as covered by this clause; that a PCF scaffold's boilerplate template files qualify as ""code marked as sample/template"" is this research's own reasoned inference (see CLM-021b), not a directly stated fact",2026-12-24,Quoted verbatim from the license text
CLM-021b,LicensingTrademarks,PCF,MicrosoftPacCli,"Inference: pac pcf init's generated boilerplate files (index.ts ControlManifest.Input.xml package.json) most plausibly qualify as ""code marked as sample/template"" under CLM-021's Distributable Code clause, since PCF's scaffolding mechanism works by copying built-in template files - but this is not stated explicitly anywhere in the license",ResearchInference,,,2026-09-24,Medium,No,,"This is an inference, explicitly not a directly-sourced fact; do not present as settled without legal review",2026-12-24,
CLM-022,LicensingTrademarks,PCF,MicrosoftPowerAppsSamples,"microsoft/PowerApps-Samples is MIT licensed (LICENSE file fetched and read verbatim); GitHub metadata: 1982 stars, last push 2026-09-03, 45 open issues, not archived",RepositoryEvidence,https://github.com/microsoft/PowerApps-Samples,microsoft/PowerApps-Samples (GitHub API + LICENSE file),2026-09-24,High,Yes,,Star count and push date are point-in-time snapshots,2026-10-24,Confirmed via gh api and direct LICENSE fetch
CLM-023,LicensingTrademarks,General,MicrosoftCreatorKit,"microsoft/powercat-creator-kit is MIT licensed; GitHub metadata: 409 stars, last push 2025-03-10, 128 open issues, not archived. Spans both Canvas components and PCF controls (README confirms both). README makes no mention of accessibility, WCAG, or automated testing; confirms Fluent UI as the underlying design system.",RepositoryEvidence,https://github.com/microsoft/powercat-creator-kit,microsoft/powercat-creator-kit (GitHub API + README),2026-09-24,High,Yes,,"Absence of an accessibility/testing mention in the README does not prove the kit has none - only that it is not documented/visible in the README this research read",2026-10-24,
CLM-024,LicensingTrademarks,PCF,MicrosoftCodeComponents,"microsoft/powercat-code-components is MIT licensed; GitHub metadata: 201 stars, last push 2025-06-30, 194 open issues, not archived. Repository root contains one folder per PCF control (Breadcrumb, Calendar, Card, CommandBar, DetailsList, Nav, Persona, Pivot, SearchBox, etc.). A GitHub code search within the repository for files matching *.test.ts returned 39 results.",RepositoryEvidence,https://github.com/microsoft/powercat-code-components,microsoft/powercat-code-components (GitHub API + code search),2026-09-24,High,Yes,,"39 is a code-search result count, not a manually verified list of genuinely meaningful unit tests; some matches could be trivial or unrelated files sharing the naming pattern",2026-10-24,This is the strongest real evidence found in this research of a credibly-tested PCF control library
CLM-025,MarketLandscape,PCF,GeneratorPcf,"npm package generator-pcf (DynamicsNinja): latest version 1.5.0, registry ""modified"" timestamp 2022-10-10; GitHub repo DynamicsNinja/generator-pcf: 29 stars, last push 2022-10-10, 1 open issue, not archived (not formally deprecated, but ~4 years without a release/commit as of this research's retrieval date)",RepositoryEvidence,https://registry.npmjs.org/generator-pcf; https://github.com/DynamicsNinja/generator-pcf,npm registry API and GitHub API,2026-09-24,High,Yes,,,2026-12-24,Carried over from this session's prior generator-tooling research pass; re-confirmed here
CLM-026,MarketLandscape,PCF,MicrosoftYeomanGenerator,"A web search result asserted an official Microsoft Yeoman generator existed, invoked as ""yo @microsoft/powerapps-component""; directly queried the npm registry for this exact package name and received HTTP 404 Not Found",Unknown,https://registry.npmjs.org/@microsoft/powerapps-component,npm registry API,2026-09-24,High,No,,"The package does not currently exist on npm under this name. It may never have existed under this exact name, may have been renamed/removed, or the originating web-search summary may simply have been incorrect. Flagged explicitly rather than repeated as fact.",2026-12-24,Carried over from this session's prior generator-tooling research pass
CLM-027,MarketLandscape,PCF,PcfBuilder,"VS Code Marketplace extension ""PCF Builder"" (publisher danish-naglekar): 24687 installs, lastUpdated 2021-06-16 (VS Code Marketplace gallery API). Source repo Power-Maverick/PCF-Builder-VSCode: 27 stars, last push 2022-12-30, 14 open issues, not archived. The single most-installed relevant tool found, but stale for 4+ years as of this research's retrieval date.",RepositoryEvidence,https://marketplace.visualstudio.com/items?itemName=danish-naglekar.pcf-builder; https://github.com/Power-Maverick/PCF-Builder-VSCode,VS Code Marketplace gallery API and GitHub API,2026-09-24,High,Yes,,,2026-12-24,Carried over from this session's prior generator-tooling research pass
CLM-028,MarketLandscape,General,PowerAppsFusionStudio,"VS Code Marketplace extension ""Power Apps Fusion Studio"" (publisher VladimiroLuis): 698 installs, lastUpdated 2026-04-16 (actively maintained relative to the rest of this list). Description covers a broad ""Power Apps Studio in VS Code"" feature set (AI generation PowerFx AST analysis dependency graphs linting Dataverse integration) - not confirmed to specifically scaffold PCF controls. No public GitHub source repository was located.",RepositoryEvidence,https://marketplace.visualstudio.com/items?itemName=VladimiroLuis.powerapps-fusion-studio,VS Code Marketplace gallery API,2026-09-24,Medium,Partial,,"Whether this extension actually performs PCF component generation/scaffolding, as opposed to other Power Apps development tasks, was not directly confirmed by installing and testing it",2026-12-24,Carried over from this session's prior generator-tooling research pass
CLM-029,MarketLandscape,PCF,WebBasedGenerator,"No actively-maintained purely browser-based (no-install) PCF component generator/scaffolding tool was located by direct web search",Unknown,,,2026-09-24,Medium,No,,"Absence of evidence from search is not proof of absence; a tool could exist that this search method did not surface",2026-12-24,"Carried over from this session's prior generator-tooling research pass; negative finding, recorded explicitly"
CLM-030,QualityBar,PCF,MicrosoftCreatorKit,"See CLM-023 - repeated here for cross-reference: Creator Kit's own README does not publicly document any accessibility verification method or automated testing practice, despite being a Microsoft first-party, MIT-licensed, actively-referenced component library",ResearchInference,https://raw.githubusercontent.com/microsoft/powercat-creator-kit/main/README.md,microsoft/powercat-creator-kit README,2026-09-24,Medium,Partial,,Supports (does not prove) the pain-point finding that accessibility evidence is often not publicly visible even from credible first-party sources,2026-12-24,
CLM-031,CanvasVsPcf,PCF,General,"A system administrator (or system customizer) must enable the Power Apps component framework feature per environment before Canvas apps can use code components in that environment (enabled by default for model-driven apps, not for Canvas); Microsoft's own guidance states administrators and system customizers should review and validate all code components before importing them and making them available to makers, since code components in Studio have access to security tokens",OfficialDocumentation,"https://learn.microsoft.com/en-us/power-apps/developer/component-framework/component-framework-for-canvas-apps; https://learn.microsoft.com/en-us/power-apps/developer/component-framework/overview","Microsoft Learn - Code components for canvas apps / PCF overview",2026-09-24,High,Yes,,"Summarized from search-result excerpts of Microsoft Learn pages, not a full verbatim fetch of the entire page",2026-12-24,Directly supports the instruction's required statement that PCF may require administrator review/trust
CLM-032,CanvasVsPcf,PCF,General,"A PCF code component that connects to an external service/data directly from the user's browser client (not through a Dataverse connector) must declare an <external-service-usage> node in its manifest listing the external domains; doing so makes the component, and any app that uses it, Premium - end users then need a Power Apps license rather than only a base Office 365/Microsoft 365 license",OfficialDocumentation,https://learn.microsoft.com/en-us/power-apps/developer/component-framework/overview,"Microsoft Learn - Power Apps component framework overview (via search excerpt)",2026-09-24,High,Yes,,"Summarized from search-result excerpts, not a full verbatim fetch",2026-12-24,Directly supports the instruction's required statement that PCF external-service usage may affect consuming-app licensing
CLM-033,LicensingTrademarks,General,Microsoft,"Microsoft trademarked logos require a formal license for third-party use, typically not available without one; third parties may never claim ownership of Microsoft's brand assets or confusingly similar marks (as a trademark, company name, domain name, social handle, etc); partner-led marketing guidance requires the word ""Microsoft"" to precede a product name like ""Power Apps"" on first occurrence in third-party marketing",OfficialDocumentation,"https://www.microsoft.com/en-us/legal/intellectualproperty/trademarks; partner co-branding guidance found via search","Microsoft trademark and brand guidelines (via search-result summaries)",2026-09-24,Medium,Partial,,"Found via search-result summaries of Microsoft's trademark guideline PDFs, not a full verbatim fetch of the primary documents; specific rule about truthful ""compatible with"" naming vs. implied endorsement was not located verbatim and is treated as ResearchInference from the general non-ownership/formal-license rules found",2026-12-24,
CLM-034,MarketLandscape,PCF,PcfGallery,"pcf.gallery is a directory/catalogue of community-built PCF controls (does not host the components itself, indexes/links to them), with search, an authors directory, and pagination showing at least 63 pages of listed entries (exact total not stated on the page)",VendorClaim,https://pcf.gallery,PCF Gallery homepage,2026-09-24,Medium,Partial,,"Exact total component count not directly stated; ""63 pages"" is a pagination-control observation, not a confirmed count",2026-12-24,"New finding from a follow-up research pass (2026-09-24), not part of the original research package's first draft - previously missed"
CLM-035,PricingAdoption,PCF,PcfGallery,"pcf.gallery has a ""Store"" section explicitly inviting companies/ISVs to list commercial PCF components for developers/end-users seeking enterprise solutions, accepting data-visualization, custom-input, and UI-enhancement component types; vendors are directed to contact the site operator via LinkedIn to list; no products or prices are currently shown on the store's own landing page",VendorClaim,https://pcf.gallery/store/,PCF Gallery Store page,2026-09-24,Medium,Yes,,"Confirms a commercial-listing channel exists, not that any commercial product is currently listed or transacting through it",2026-12-24,"Directly relevant: an existing commercial-PCF-listing channel already exists, independent of LowCodeStacks"
CLM-036,MarketLandscape,PCF,PcfGallery,"pcf.gallery is run by Guido Preite, a recognized Microsoft MVP; independent sources (a 2019 CRM Answers/Dynamics Community blog post) confirm the gallery reached its 100th listed control by October 2019, and search results show LinkedIn posts announcing newly added controls with recent dates, indicating multi-year, still-active curation, not an abandoned project",IndependentEvidence,https://www.crmanswers.net/2019/10/pcf-gallery-5-months-after.html; LinkedIn posts found via search,"CRM Answers blog post; Guido Preite LinkedIn posts (via search)",2026-09-24,Medium,Partial,,"Independent of the vendor's own site, but still first-party to the operator (his own blog mentions, his own LinkedIn); not a fully neutral third-party audit of activity level",2026-12-24,"The most credible evidence of long-running, actively-maintained PCF community infrastructure found in this entire research pass"
